title,categories,upc,price,stock,rating
A Light in the Attic,Home > Books > Poetry,UPC a897fe39b1053632,£51.77,In stock (22 available),star-rating Three
Tipping the Velvet,Home > Books > Historical Fiction,UPC 90fa61229261140a,£53.74,In stock (20 available),star-rating One
Soumission,Home > Books > Fiction,UPC 6957f44c3847a760,£50.10,In stock (20 available),star-rating One
Sharp Objects,Home > Books > Mystery,UPC e00eb4fd7b871a48,£47.82,In stock (20 available),star-rating Four
Sapiens: A Brief History of Humankind,Home > Books > History,UPC 4165285e1663650f,£54.23,In stock (20 available),star-rating Five
The Requiem Red,Home > Books > Young Adult,UPC f77dbf2323deb740,£22.65,In stock (19 available),star-rating One
The Dirty Little Secrets of Getting Your Dream Job,Home > Books > Business,UPC 2597b5a345f45e1b,£33.34,In stock (19 available),star-rating Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Home > Books > Default,UPC e72a5dfc7e9267b2,£17.93,In stock (19 available),star-rating Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Home > Books > Default,UPC e10e1e165dc8be4a,£22.60,In stock (19 available),star-rating Four
The Black Maria,Home > Books > Poetry,UPC 1dfe412b8ac00530,£52.15,In stock (19 available),star-rating One
"Starving Hearts (Triangular Trade Trilogy, #1)",Home > Books > Default,UPC 0312262ecafa5a40,£13.99,In stock (19 available),star-rating Two
Shakespeare's Sonnets,Home > Books > Poetry,UPC 30a7f60cd76ca58c,£20.66,In stock (19 available),star-rating Four
Set Me Free,Home > Books > Young Adult,UPC ce6396b0f23f6ecc,£17.46,In stock (19 available),star-rating Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Home > Books > Sequential Art,UPC 3b1c02bac2a429e6,£52.29,In stock (19 available),star-rating Five
Rip it Up and Start Again,Home > Books > Music,UPC a34ba96d4081e6a4,£35.02,In stock (19 available),star-rating Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Home > Books > Music,UPC deda3e61b9514b83,£57.25,In stock (19 available),star-rating Three
Olio,Home > Books > Poetry,UPC feb7cc7701ecf901,£23.88,In stock (19 available),star-rating One
Mesaerion: The Best Science Fiction Stories 1800-1849,Home > Books > Science Fiction,UPC e30f54cea9b38190,£37.59,In stock (19 available),star-rating One
Libertarianism for Beginners,Home > Books > Politics,UPC a18a4f574854aced,£51.33,In stock (19 available),star-rating Two
It's Only the Himalayas,Home > Books > Travel,UPC a22124811bfa8350,£45.17,In stock (19 available),star-rating Two
In Her Wake,Home > Books > Thriller,UPC 23356462d1320d61,£12.84,In stock (19 available),star-rating One
How Music Works,Home > Books > Music,UPC 327f68a59745c102,£37.32,In stock (19 available),star-rating Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Home > Books > Food and Drink,UPC 5674a18a29a43ced,£30.52,In stock (19 available),star-rating Three
Chase Me (Paris Nights #2),Home > Books > Romance,UPC c2e46a2ee3b4a322,£25.27,In stock (19 available),star-rating Five
Black Dust,Home > Books > Romance,UPC 00bfed9e18bb36f3,£34.53,In stock (19 available),star-rating Five
Birdsong: A Story in Pictures,Home > Books > Childrens,UPC 9528d0948525bf5f,£54.64,In stock (19 available),star-rating Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Home > Books > Default,UPC c7d160c2c0de586f,£22.50,In stock (19 available),star-rating Three
Aladdin and His Wonderful Lamp,Home > Books > Default,UPC 904208d6aa64b655,£53.13,In stock (19 available),star-rating Three
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Home > Books > Nonfiction,UPC 4c28def39d850cdf,£40.30,In stock (18 available),star-rating Five
Wall and Piece,Home > Books > Art,UPC ccd9ffa25efabdea,£44.18,In stock (18 available),star-rating Four
The Four Agreements: A Practical Guide to Personal Freedom,Home > Books > Spirituality,UPC 6258a1f6a6dcfe50,£17.66,In stock (18 available),star-rating Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Home > Books > Nonfiction,UPC 3c039985229453bf,£31.05,In stock (18 available),star-rating Three
The Elephant Tree,Home > Books > Thriller,UPC 5dada2b7be26bd03,£23.82,In stock (18 available),star-rating Five
The Bear and the Piano,Home > Books > Childrens,UPC 9f6568e9c95f60b0,£36.89,In stock (18 available),star-rating One
Sophie's World,Home > Books > Philosophy,UPC 6be3beb0793a53e7,£15.94,In stock (18 available),star-rating Five
Penny Maybe,Home > Books > Default,UPC 668fe56b17cfcd4f,£33.29,In stock (18 available),star-rating Three
Maude (1883-1993):She Grew Up with the country,Home > Books > Default,UPC 094b269567e1c300,£18.02,In stock (18 available),star-rating Two
"In a Dark, Dark Wood",Home > Books > Mystery,UPC 19ed25f4641d5efd,£19.63,In stock (18 available),star-rating One
Behind Closed Doors,Home > Books > Thriller,UPC be5cc846f45496fb,£52.22,In stock (18 available),star-rating Four
You can't bury them all: Poems,Home > Books > Poetry,UPC 55f9da0c5eea2e10,£33.63,In stock (17 available),star-rating Two
Slow States of Collapse: Poems,Home > Books > Poetry,UPC b4fd5943413e089a,£57.31,In stock (17 available),star-rating Three
Reasons to Stay Alive,Home > Books > Nonfiction,UPC c8f7f0cb1abb9cac,£26.41,In stock (17 available),star-rating Two
Private Paris (Private #10),Home > Books > Fiction,UPC b12b89017878a60d,£47.61,In stock (17 available),star-rating Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Home > Books > Nonfiction,UPC c27f6e1f185b0383,£23.11,In stock (17 available),star-rating Five
Without Borders (Wanderlove #1),Home > Books > New Adult,UPC acddfeab2a407640,£45.07,In stock (16 available),star-rating Two
When We Collided,Home > Books > Contemporary,UPC 3ecb690d1542c568,£31.77,In stock (16 available),star-rating One
"We Love You, Charlie Freeman",Home > Books > Fiction,UPC 8d455c7539795d2a,£50.27,In stock (16 available),star-rating Five
Untitled Collection: Sabbath Poems 2014,Home > Books > Poetry,UPC 657fe5ead67a7767,£14.27,In stock (16 available),star-rating Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Home > Books > Nonfiction,UPC d170b5a0da46380e,£44.18,In stock (16 available),star-rating Four
Unicorn Tracks,Home > Books > Fantasy,UPC 7ae099f3898e0209,£18.78,In stock (16 available),star-rating Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Home > Books > History,UPC 9a9d6e9bc555731e,£25.52,In stock (16 available),star-rating One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Home > Books > Sequential Art,UPC 09555be379ad9253,£16.28,In stock (16 available),star-rating One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Home > Books > Nonfiction,UPC 7858914fad68493c,£31.12,In stock (16 available),star-rating Three
This One Summer,Home > Books > Sequential Art,UPC 51653ef291ab7ddc,£19.49,In stock (16 available),star-rating Four
